Series_Title,Overview,Star1,Star2,Director,Concatenated_Info
The Shawshank Redemption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Tim Robbins,Morgan Freeman,Frank Darabont,"The Shawshank Redemption Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency. Tim Robbins Morgan Freeman Frank Darabont"
The Godfather,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,Marlon Brando,Al Pacino,Francis Ford Coppola,The Godfather An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son. Marlon Brando Al Pacino Francis Ford Coppola
The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christian Bale,Heath Ledger,Christopher Nolan,"The Dark Knight When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice. Christian Bale Heath Ledger Christopher Nolan"
The Godfather: Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Al Pacino,Robert De Niro,Francis Ford Coppola,"The Godfather: Part II The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate. Al Pacino Robert De Niro Francis Ford Coppola"
12 Angry Men,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Henry Fonda,Lee J. Cobb,Sidney Lumet,12 Angry Men A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence. Henry Fonda Lee J. Cobb Sidney Lumet
The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Elijah Wood,Viggo Mortensen,Peter Jackson,The Lord of the Rings: The Return of the King Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring. Elijah Wood Viggo Mortensen Peter Jackson
Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",John Travolta,Uma Thurman,Quentin Tarantino,"Pulp Fiction The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption. John Travolta Uma Thurman Quentin Tarantino"
Schindler's List,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Liam Neeson,Ralph Fiennes,Steven Spielberg,"Schindler's List In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis. Liam Neeson Ralph Fiennes Steven Spielberg"
Inception,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Leonardo DiCaprio,Joseph Gordon-Levitt,Christopher Nolan,Inception A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O. Leonardo DiCaprio Joseph Gordon-Levitt Christopher Nolan
Fight Club,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",Brad Pitt,Edward Norton,David Fincher,"Fight Club An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more. Brad Pitt Edward Norton David Fincher"
